date,text,compound,positive,negative,neutral
2020-09-02,"PALO ALTO, Calif.--(BUSINESS WIRE)--BitGo Inc., the leader in digital asset financial services, announced today that Bitgate, a Financial Services Agency (FSA) regulated exchange based in Japan, has … [+5359 chars]",0.3612,0.085,0.0,0.915
2020-09-02,"As many organisations around the world are being plagued by distributed denial of service (DDoS) attacks, some security firms and analysts are doing their best to untangle the attack web to find out … [+3471 chars]",0.1531,0.151,0.138,0.711
2020-09-02,"The Twitter account, which is linked to Prime Minister Narendra Modis personal website, appeared to have been hacked as crpytic tweets were posted on Thursday.
In a series of tweets related to crypt… [+971 chars]",-0.4019,0.0,0.076,0.924
2020-09-02,"Following an earlier endeavor selling Bitcoin (BTC) at a premium on eBay in 2015, Chris Maurice, CEO of African crypto exchange Yellow Card, made a small business selling the asset at multiple Taco B… [+1637 chars]",0.3612,0.07,0.0,0.93
2020-09-02,"Note: All information on this page is subject to change. The use of this website constitutes acceptance of our user agreement. Please read our privacy policy and legal disclaimer.
Trading foreign ex… [+1338 chars]",0.8402,0.25,0.0,0.75
2020-09-02,"Bitcoin Core developer Pieter Wuille has migrated from Blockstream to Chaincode Labs. Wuille has been with Blockstream from the beginning, having co-founded the company in 2014. When asked about Wuil… [+1421 chars]",0.0,0.0,0.0,1.0
2020-09-02,"Click to download audio version
""As we conclude our Discovering Bitcoin series, we will build on the use of digital signatures and of the CoinJoin paradigm to explore concepts of unique chronology, … [+1713 chars]",0.0,0.0,0.0,1.0
2020-09-02,"Band Protocol was an early winner in the DeFi craze, posting massive gains throughout August based on a combination of hype for oracle tokens, integration news, and exchange listings.
This allowed i… [+2537 chars]",0.6808,0.164,0.042,0.794
2020-09-02,"In the final decision on a criminal case that began a decade ago, an appellate court has said that the National Security Agencys phone data collection practices were in fact illegal. They did, howeve… [+2451 chars]",-0.6808,0.059,0.173,0.767
2020-09-02,"Bitcoin took a dive Wednesday. Ethereum miners are benefiting from all that DeFi.
<ul><li>Bitcoin (BTC) trading around $11,396 as of 20:00 UTC (4 p.m. ET). Slipping 4.8% over the previous 24 hours.<… [+4701 chars]",0.0,0.0,0.0,1.0
2020-09-02,"The S&amp;P 500's P/E multiple just broke above the all-time highs from the dotcom bubble...
Source: Bloomberg
As the S&amp;P 500 reaches a critical resistance level...
Source: Bloomberg
And the … [+2560 chars]",-0.5994,0.035,0.149,0.816
2020-09-02,<ul><li>Ethereum and the entire crypto market saw a sharp selloff overnight that caused ETH and most other major altcoins to erase their recent gains</li><li>This selling pressure struck a lethal blo… [+2439 chars],-0.4939,0.0,0.13,0.87
2020-09-02,"Following in the flaming hot footsteps of Chainlink, its closest competitor, fellow decentralized oracle solution Band Protocol had an incredible few month rally. The asset shot up to set a new all-t… [+3237 chars]",0.5859,0.134,0.0,0.866
2020-09-02,"It has been a very…
Bitcoin has crept its way…
Saudi Aramco presented on Monday…
By Haley Zaremba - Sep 02, 2020, 3:00 PM CDTFor all the recent rhetoric about the impending global clean energy tra… [+4126 chars]",0.5859,0.124,0.0,0.876
2020-09-02,"On Saturday, China Construction Bank (CCB), one of the big four state-owned commercial banks, quietly opened up a wallet service for Chinas CBDC to public users but quickly disabled it after the feat… [+4356 chars]",0.0,0.0,0.0,1.0
2020-09-02,"Skip to comments.
Why China Rushes to Roll Out Digital Currency Epoch Times ^
 | 09/02/2020
 | Frank Xie, Ph.D, John M. Olin Palmetto professor in business; Univ. of South Carolina
Posted on 09/0… [+8409 chars]",0.0,0.0,0.0,1.0
2020-09-02,"Note: All information on this page is subject to change. The use of this website constitutes acceptance of our user agreement. Please read our privacy policy and legal disclaimer.
Trading foreign ex… [+1338 chars]",0.8402,0.25,0.0,0.75
2020-09-02,"Note: All information on this page is subject to change. The use of this website constitutes acceptance of our user agreement. Please read our privacy policy and legal disclaimer.
Trading foreign ex… [+1338 chars]",0.8402,0.25,0.0,0.75
2020-09-02,"The cyber attack on New Zealand right now is being attributed to cyber criminals, b-u-t there are also some pretty compelling arguments to suggest that this is a state actor pretending to be a cyber … [+1550 chars]",-0.6124,0.144,0.211,0.644
2020-09-02,"Bitcoin had a lackluster August while Ethereum “gas” fees are soaring. In 15 charts, CoinDesk Research’s Monthly Review for August looks at bitcoin (BTC) performance compared to traditional assets, i… [+1649 chars]",0.1779,0.054,0.0,0.946
