date,text,compound,positive,negative,neutral
2020-09-03,"Authored by Thorstein Polleit via The Mises Institute,
The title of this article epitomizes what the Austrian economist Ludwig von Mises (18811973) called the sound money principle. As Mises put it:… [+9510 chars]",0.0,0.0,0.0,1.0
2020-09-03,Buying dirt-cheap stocks after the market crash could be a sound means of generating high returns in the long run. Undervalued shares have historically offered strong capital gains as the stock marke… [+3363 chars],0.6369,0.199,0.068,0.732
2020-09-03,"Bitcoin saw a strong crash on Wednesday after another attempt at breaking past and holding $12,000. The leading cryptocurrency dropped as low as $11,200 as sellers flooded the market.
Some say it wa… [+2250 chars]",-0.128,0.084,0.123,0.793
2020-09-03,"Note: All information on this page is subject to change. The use of this website constitutes acceptance of our user agreement. Please read our privacy policy and legal disclaimer.
Trading foreign ex… [+1338 chars]",0.8402,0.25,0.0,0.75
2020-09-03,"Responding to numerous 51% attacks on the Ethereum Classic blockchain, ETC Labs said that it's time to bring regulation to hashpower rental marketplaces, citing the fact that at least two of the atta… [+4054 chars]",-0.4404,0.0,0.079,0.921
2020-09-02,"The verified Twitter handle, made for Modi’s personal website and boasting some 2.5 million followers, was hit by a security breach on Wednesday, sending out a string of posts penned in shaky English… [+419 chars]",0.128,0.068,0.054,0.878
2020-09-02,"A Bitcoin bungle causes one user to lose millions, hackers attempt to bribe a Tesla employee into infecting the companys network, and are we ready for a sky full of drones?
All this and much more is… [+1629 chars]",-0.25,0.062,0.113,0.825
2020-09-02,"<ul><li>Open: $11,923,78 </li><li>Current Price: $11,396</li></ul>BTC/USD sits on top of the $11,350 support line. This line is highlighted by the weekly Fibonacci 23.6% retracement level, monthly Fi… [+1442 chars]",0.5423,0.148,0.0,0.852
2020-09-02,"<ul><li>It has been a rocky past few days for Bitcoin, as the benchmark cryptocurrency dropped as low as $11,100 following yesterdays surge to highs of $12,200</li><li>This weakness came about in the… [+2589 chars]",-0.5994,0.0,0.14,0.86
2020-09-02,"XRP has been closely tracking Bitcoin and the other major altcoins throughout the past few days.
Although this helped provide it with some slight momentum earlier this week, it has since caused it t… [+2410 chars]",0.0,0.0,0.0,1.0
2020-09-02,"Fortune picked out a number of individuals deemed as most influential for 2020, listing 40 different names across five separate sectors. 
Binance.US CEO, Catherine Coley, and eToro CEO Yoni Assia fo… [+1063 chars]",0.5413,0.13,0.0,0.87
2020-09-02,"Successful ransomware attacks continue to create serious drawbacks for affected companies. CWT, a US travel management firm, had to pay more than $4 million USD to a hacker group to recover thousands… [+3101 chars]",0.1779,0.151,0.184,0.665
2020-09-02,"PALO ALTO, Calif.--(BUSINESS WIRE)--BitGo Inc., the leader in digital asset financial services, announced today that Bitgate, a Financial Services Agency (FSA) regulated exchange based in Japan, has … [+5359 chars]",0.3612,0.085,0.0,0.915
2020-09-02,"As many organisations around the world are being plagued by distributed denial of service (DDoS) attacks, some security firms and analysts are doing their best to untangle the attack web to find out … [+3471 chars]",0.1531,0.151,0.138,0.711
2020-09-02,"The Twitter account, which is linked to Prime Minister Narendra Modis personal website, appeared to have been hacked as crpytic tweets were posted on Thursday.
In a series of tweets related to crypt… [+971 chars]",-0.4019,0.0,0.076,0.924
2020-09-02,"Following an earlier endeavor selling Bitcoin (BTC) at a premium on eBay in 2015, Chris Maurice, CEO of African crypto exchange Yellow Card, made a small business selling the asset at multiple Taco B… [+1637 chars]",0.3612,0.07,0.0,0.93
2020-09-02,"Note: All information on this page is subject to change. The use of this website constitutes acceptance of our user agreement. Please read our privacy policy and legal disclaimer.
Trading foreign ex… [+1338 chars]",0.8402,0.25,0.0,0.75
2020-09-02,"Bitcoin Core developer Pieter Wuille has migrated from Blockstream to Chaincode Labs. Wuille has been with Blockstream from the beginning, having co-founded the company in 2014. When asked about Wuil… [+1421 chars]",0.0,0.0,0.0,1.0
2020-09-02,"Click to download audio version
""As we conclude our Discovering Bitcoin series, we will build on the use of digital signatures and of the CoinJoin paradigm to explore concepts of unique chronology, … [+1713 chars]",0.0,0.0,0.0,1.0
2020-09-02,"Band Protocol was an early winner in the DeFi craze, posting massive gains throughout August based on a combination of hype for oracle tokens, integration news, and exchange listings.
This allowed i… [+2537 chars]",0.6808,0.164,0.042,0.794
